,Unnamed: 0,doc_id,doc_name,par_id,par,label,par_length,sent_num
1,1,0,45.33.44.78.txt,1,"The core of our service is the SuperVPN Private Network which provides private and secure data transmission. If you are using the SuperVPN Virtual Private Network (VPN) Service, we route all of your Internet traffic through our network. In each case, our software client establishes and maintains an encrypted tunnel between your device and our network",Data Security,62,3
3,3,0,45.33.44.78.txt,3,"That means, except for the limited exceptions below, we do not collect any information transmitted through our network. More specifically, we do not collect any information regarding the websites you visit or the IP addresses assigned to you when you access the SuperVPN Private Network, and with respect to our VPN service, we do not collect any data stored on or transmitted from your device, including any data that applications on your device may transmit through our network.",First Party Collection,86,2
4,4,0,45.33.44.78.txt,4,There are a few exceptions where we may need to collect or monitor traffic through our network:We will record some usage data for handle DMCA complaint. This usage data may include such information as the date and time of your login and bandwidth your usage.,First Party Collection,49,2
5,5,0,45.33.44.78.txt,5,"We will record your installed app information, only for handling DMCA complaints. If we receive a DCMA complaint, we will analyze installed app information of the abuser so that we can block all applications that may cause DMCA complaints.",First Party Collection,43,2
8,8,1,50.116.2.183.txt,2,"We take your privacy seriously and below explained what we may collect from you, how we store and how we use this information. Please read the following carefully to understand our views and practices regarding your personal data and how we, as data controller (as defined by the Data Protection Act (""DPA"" 1998) of your personal data that you provide to us, will treat it. Using our services and software you are agree to our ""Terms and Conditions"" and ""Privacy Policy"" described below.",Introductory/Generic,98,3
10,10,1,50.116.2.183.txt,4,"We do not monitor your traffic. The only thing we monitor if the IPs you are using to enter our servers are not blacklisted in respected Black lists databases, like spamhaus.org. This monitoring is provided for your and our security.",Introductory/Generic,44,3
12,12,1,50.116.2.183.txt,6,"You can find more information what is cookie here: http://en.wikipedia.org/wiki/HTTP_cookie We do not use own Cookies, but Cookies might be used by the third parties that links from our app lead to. By clicking on to third party website you are consenting to their use of cookies.",Cookies and Similar Technologies,53,2
14,14,1,50.116.2.183.txt,8,We keep all information on highly secured servers based in United Kingdom and USA. All Information might be transferred to other servers we could use and we will take reasonably care with these possible transfers.,Data Transfer,37,2
16,16,1,50.116.2.183.txt,10,When you setup out app on mobile device you are installing security key and all information transmitted encoded. Our service allow you to go to the Internet and even connect to public networks without the fair that information could be stolen. It is also allowed you to use VPN tunnel to go to the Internet using preferred Servers and Geo locations.,Data Transfer,64,3
25,25,2,about.musixmatch.com.txt,7,"imo takes your privacy seriously, and we are committed to maintaining the privacy of the personal information that you provide to us. This policy explains our information practices and how we process your information to provide our services. By using imo you acknowledge that the terms and conditions in this Privacy Policy will apply to you, as well as to any information that you provide us. Please take the time to read through this Privacy Policy to get acquainted with our practices.",Introductory/Generic,88,4
26,26,2,about.musixmatch.com.txt,8,"We sometimes use capitalized terms in this Privacy Policy; if they’re not defined here, they’re defined in our Terms of Service. PageBites, Inc. is the legal name for imo, however, we will use imo throughout this Privacy Policy when referring to the imo communication service that we provide through applications that we offer on various mobile operating systems and on Windows and Mac personal computer operating systems (collectively, the “Service”).",Introductory/Generic,86,2
28,28,2,about.musixmatch.com.txt,10,"We must collect some of your personal information to provide, support, improve, and market the imo service. Some of the ways that we may collect personal information include information that you provide us directly; information about you that we automatically collect from log data, IP addresses, and aggregated user data; cookies; information that you give us about your friends; and your chat histories.",First Party Collection,74,2
29,29,2,about.musixmatch.com.txt,11,Types of Personal Information we collect,First Party Collection,6,1
30,30,2,about.musixmatch.com.txt,12,i. information that you provide us directly,First Party Collection,7,1
32,32,2,about.musixmatch.com.txt,14,"Information you give us when you register an account. We use your mobile phone number as your account identifier, and you will need to provide it to create an imo account. You also have the option of providing your first and last name, and a username in your profile;",First Party Collection,54,3
33,33,2,about.musixmatch.com.txt,15,"Information that you post on your imo user profile (this might include profile pictures, and other information);",First Party Collection,21,1
34,34,2,about.musixmatch.com.txt,16,"Content that you share with other imo users on the Service, including message, photos, and videos; as well as list of members in your chat groups.",First Party Collection,31,1
35,35,2,about.musixmatch.com.txt,17,"Information you give us during any support and feedback communications via email, postal mail or chat.",First Party Collection,18,1
37,37,2,about.musixmatch.com.txt,19,"To enable you to access and use the Service, including to manage user information and accounts;",First Party Use,18,1
38,38,2,about.musixmatch.com.txt,20,To contact you to answer requests for customer support or technical support;,First Party Use,13,1
39,39,2,about.musixmatch.com.txt,21,"To customize your experience, to conduct research and development to test and introduce new features and products, and to improve and monitor the effectiveness of our Service.",First Party Use,30,1
40,40,2,about.musixmatch.com.txt,22,To enforce our Terms of Service;,First Party Use,7,1
41,41,2,about.musixmatch.com.txt,23,"For any other purposes that we specifically communicate to you when we collect that information with your consent, or for which we have a legitimate interest, such as direct marketing, individual or market research, or anti-fraud protection; and",First Party Use,43,1
42,42,2,about.musixmatch.com.txt,24,"To market our products and services and to provide you with materials about offers, products, and Services that may be of interest, including new content or Services, including tailoring content, advertisements, and offers, and to notify you of offers, products and services that may be of interest to you, for other purposes disclosed at the time that you provide your information, or otherwise with your consent.",First Party Use,77,1
43,43,2,about.musixmatch.com.txt,25,"You may opt-out of the use of your personal information, as further described below.",User Control,16,1
45,45,2,about.musixmatch.com.txt,27,Information that we automatically collect,First Party Collection,5,1
47,47,2,about.musixmatch.com.txt,29,"imo automatically collects certain information that your mobile device sends when you use our mobile application, like an advertising identifier, IP address, user settings, phone model, SIM serial, connection type (e.g., cellular or WiFi), mobile carrier, push notification token, and the operating system of your device. If you are an Android user, we automatically receive the email address associated with your Android account when you created an account. imo may use personal or non-identifiable information transmitted to imo to enhance the application, to develop new tools, for quality improvement and as otherwise described in this Privacy Policy or in other notices imo provides.",First Party Collection,121,3
48,48,2,about.musixmatch.com.txt,30,"If our app has your permission, we collect contact information from your mobile address book to connect you to your friends on imo.",First Party Collection,25,1
49,49,2,about.musixmatch.com.txt,31,"Third parties that provide advertising or other functionality on our Services may collect the same information about your mobile device that we automatically collect, as described above.",First Party Collection,29,1
50,50,2,about.musixmatch.com.txt,32,"For users of the desktop imo app, we automatically collect your IP address;",First Party Collection,15,1
51,51,2,about.musixmatch.com.txt,33,"We may collect and/or aggregate information about features of the Service that you use, the date and time of your visit, the amount of time you spend using the Services, information about the links you click, and other actions taken through use of the Services such as preferences.",First Party Collection,53,1
52,52,2,about.musixmatch.com.txt,34,"When you use our live video streaming service, imo users will be able to see you, your username, your country (based on your phone number), and profile. We will store a list of your live stream followers and a list of people you follow. We may monitor live streams to improve the quality of the service and to enforce our terms of service.",First Party Collection,72,3
53,53,2,about.musixmatch.com.txt,35,"Photos, videos, and posts shared via our Stories feature will be shared with your contacts on imo for up to 24 hours. If you share with “friends of friends”, your posts will be shared with “friends of friends” and possibly others depending on reshares and likes.",First Party Collection,55,2
55,55,2,about.musixmatch.com.txt,37,To connect you with other imo users in your mobile device address book.,First Party Use,14,1
